position,title,place_id,data_id,data_cid,reviews_link,photos_link,gps_coordinates,place_id_search,rating,reviews,price,type,address,open_state,hours,operating_hours,phone,website,description,service_options,thumbnail,unclaimed_listing,editorial_reviews
1,Starbucks,ChIJgTRgkL5ZwokRx3yiiT0aIKI,0x89c259be90603481:0xa2201a3d89a27cc7,11682366285003521223,https://serpapi.com/search.json?data_id=0x89c259be90603481%3A0xa2201a3d89a27cc7&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259be90603481%3A0xa2201a3d89a27cc7&engine=google_maps_photos&hl=en,"{'latitude': 40.741127999999996, 'longitude': -74.001302}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJgTRgkL5ZwokRx3yiiT0aIKI,3.9,499,$$,Coffee shop,"124 8th Ave, New York, NY 10011",Closed ⋅ Opens 6 AM,Closed ⋅ Opens 6 AM,"{'wednesday': '6\u202fAM–7\u202fPM', 'thursday': '6\u202fAM–7\u202fPM', 'friday': '6\u202fAM–8\u202fPM', 'saturday': '5:30\u202fAM–7\u202fPM', 'sunday': '6\u202fAM–7:30\u202fPM', 'monday': '6\u202fAM–7\u202fPM', 'tuesday': '6\u202fAM–7\u202fPM'}",(212) 462-2020,https://www.starbucks.com/store-locator/store/16006/,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","{'dine_in': True, 'takeout': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipNcCFKISnOZYFGFVK8g26fX-4Fs2FxQXCZl-wlU=w92-h92-k-no,,
2,Peet's Coffee,ChIJG3lW5ZhZwokRbbE3bvRnzb0,0x89c25998e556791b:0xbdcd67f46e37b16d,13676701942912889197,https://serpapi.com/search.json?data_id=0x89c25998e556791b%3A0xbdcd67f46e37b16d&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c25998e556791b%3A0xbdcd67f46e37b16d&engine=google_maps_photos&hl=en,"{'latitude': 40.734704199999996, 'longitude': -73.9910357}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJG3lW5ZhZwokRbbE3bvRnzb0,4.3,231,$,Coffee shop,"853 Broadway, New York, NY 10003",Closed ⋅ Opens 7 AM,Closed ⋅ Opens 7 AM,"{'wednesday': '7\u202fAM–6\u202fPM', 'thursday': '7\u202fAM–6\u202fPM', 'friday': '7\u202fAM–6\u202fPM', 'saturday': '10\u202fAM–4\u202fPM', 'sunday': 'Closed', 'monday': '7\u202fAM–6\u202fPM', 'tuesday': '7\u202fAM–6\u202fPM'}",(646) 759-4933,https://locations.peets.com/ll/US/NY/New-York/853-Broadway,"Coffeehouse chain also known for its tea. Berkeley-born chain featuring signature coffee, tea & blended drinks alongside baked goods.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipNGZY9yFY8iEGSobkCA_xsNtvhH17sUthKCIMkO=w80-h106-k-no,,
3,Stumptown Coffee Roasters,ChIJT2h1HKZZwokR0kgzEtsa03k,0x89c259a61c75684f:0x79d31adb123348d2,8778389626880739538,https://serpapi.com/search.json?data_id=0x89c259a61c75684f%3A0x79d31adb123348d2&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259a61c75684f%3A0x79d31adb123348d2&engine=google_maps_photos&hl=en,"{'latitude': 40.7457399, 'longitude': -73.9882272}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJT2h1HKZZwokR0kgzEtsa03k,4.5,1383,$$,Coffee shop,"18 W 29th St, New York, NY 10001",Closed ⋅ Opens 6:30 AM,Closed ⋅ Opens 6:30 AM,"{'wednesday': '6:30\u202fAM–5\u202fPM', 'thursday': '6:30\u202fAM–5\u202fPM', 'friday': '6:30\u202fAM–5\u202fPM', 'saturday': '7\u202fAM–5\u202fPM', 'sunday': '7\u202fAM–5\u202fPM', 'monday': '6:30\u202fAM–5\u202fPM', 'tuesday': '6:30\u202fAM–5\u202fPM'}",(855) 711-3385,https://www.stumptowntogo.com/,"Coffee bar serving direct-trade java. Coffee bar chain offering house-roasted direct-trade coffee, along with brewing gear & whole beans","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipMg90Zc0FekBv9vaTYG4nVOf_RoSYAhVklxGxmg=w80-h106-k-no,,
4,Blue Bottle Coffee,ChIJ5f3VIgdZwokRsbIrUR5neqs,0x89c2590722d5fde5:0xab7a671e512bb2b1,12356301907552875185,https://serpapi.com/search.json?data_id=0x89c2590722d5fde5%3A0xab7a671e512bb2b1&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c2590722d5fde5%3A0xab7a671e512bb2b1&engine=google_maps_photos&hl=en,"{'latitude': 40.7511917, 'longitude': -73.99214359999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ5f3VIgdZwokRsbIrUR5neqs,4.3,27,$$,Coffee shop,"1 Pennsylvania Plaza #135, New York, NY 10119",Closed ⋅ Opens 7 AM,Closed ⋅ Opens 7 AM,"{'wednesday': '7\u202fAM–6\u202fPM', 'thursday': '7\u202fAM–6\u202fPM', 'friday': '7\u202fAM–6\u202fPM', 'saturday': 'Closed', 'sunday': 'Closed', 'monday': '7\u202fAM–6\u202fPM', 'tuesday': '7\u202fAM–6\u202fPM'}",(510) 653-3394,https://bluebottlecoffee.com/cafes/one-penn,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.","{'dine_in': True, 'takeout': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipM-Wqk849eV1O_gYp2oCh55A8GYNpEREydJLwPI=w80-h106-k-no,,
5,Starbucks,ChIJyenEWclZwokRQ4xrCTwZwgE,0x89c259c959c4e9c9:0x1c2193c096b8c43,126691485166570563,https://serpapi.com/search.json?data_id=0x89c259c959c4e9c9%3A0x1c2193c096b8c43&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259c959c4e9c9%3A0x1c2193c096b8c43&engine=google_maps_photos&hl=en,"{'latitude': 40.740418, 'longitude': -74.005053}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJyenEWclZwokRQ4xrCTwZwgE,4.1,154,$$,Coffee shop,"678 Hudson St, New York, NY 10014",Closed ⋅ Opens 5:30 AM,Closed ⋅ Opens 5:30 AM,"{'wednesday': '5:30\u202fAM–7:30\u202fPM', 'thursday': '5:30\u202fAM–7:30\u202fPM', 'friday': '6\u202fAM–8\u202fPM', 'saturday': '6\u202fAM–8\u202fPM', 'sunday': '6\u202fAM–6:30\u202fPM', 'monday': '5:30\u202fAM–7:30\u202fPM', 'tuesday': '5:30\u202fAM–7:30\u202fPM'}",(646) 634-9309,https://www.starbucks.com/store-locator/store/1027609,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipNuprHggIPjdDp3N_PrWvxq7aE30TzU7n2PjxCr=w80-h106-k-no,,
6,Blue Bottle Coffee,ChIJgx_-JDZZwokRTAPqxJVrBh8,0x89c2593624fe1f83:0x1f066b95c4ea034c,2235592556033999692,https://serpapi.com/search.json?data_id=0x89c2593624fe1f83%3A0x1f066b95c4ea034c&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c2593624fe1f83%3A0x1f066b95c4ea034c&engine=google_maps_photos&hl=en,"{'latitude': 40.7531067, 'longitude': -74.001824}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJgx_-JDZZwokRTAPqxJVrBh8,4.0,410,$$,Coffee shop,"20 Hudson Yards #228, New York, NY 10018",Closed ⋅ Opens 7 AM,Closed ⋅ Opens 7 AM,"{'wednesday': '7\u202fAM–8\u202fPM', 'thursday': '7\u202fAM–8\u202fPM', 'friday': '7\u202fAM–8\u202fPM', 'saturday': '7\u202fAM–8\u202fPM', 'sunday': '8\u202fAM–7\u202fPM', 'monday': '7\u202fAM–8\u202fPM', 'tuesday': '7\u202fAM–8\u202fPM'}",(510) 653-3394,https://bluebottlecoffee.com/,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipOCPTcR_HH2c8Z5t6Lyg3h8lXM4kv-n7Jah7Tfk=w80-h106-k-no,,
7,Starbucks,ChIJ8YG9_rtZwokRdDyBqOnMxYU,0x89c259bbfebd81f1:0x85c5cce9a8813c74,9639335881382902900,https://serpapi.com/search.json?data_id=0x89c259bbfebd81f1%3A0x85c5cce9a8813c74&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259bbfebd81f1%3A0x85c5cce9a8813c74&engine=google_maps_photos&hl=en,"{'latitude': 40.743037199999996, 'longitude': -74.00039319999999}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ8YG9_rtZwokRdDyBqOnMxYU,4.0,355,$$,Coffee shop,"177 8th Ave, New York, NY 10011",Closed ⋅ Opens 6 AM,Closed ⋅ Opens 6 AM,"{'wednesday': '6\u202fAM–7\u202fPM', 'thursday': '6\u202fAM–7\u202fPM', 'friday': '6\u202fAM–7\u202fPM', 'saturday': '7\u202fAM–7\u202fPM', 'sunday': '7\u202fAM–7\u202fPM', 'monday': '6\u202fAM–7\u202fPM', 'tuesday': '6\u202fAM–7\u202fPM'}",(212) 414-8786,https://www.starbucks.com/store-locator/store/13467/,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","{'dine_in': True, 'takeout': True, 'delivery': True}",https://lh5.googleusercontent.com/p/AF1QipPw-utQCn49kzADEAjZUWt-TjRV7l1lhQhMrAaK=w80-h106-k-no,,
8,Blue Bottle Coffee,ChIJ2wHSrZlZwokRgtQcf8U3emw,0x89c25999add201db:0x6c7a37c57f1cd482,7816621424635597954,https://serpapi.com/search.json?data_id=0x89c25999add201db%3A0x6c7a37c57f1cd482&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c25999add201db%3A0x6c7a37c57f1cd482&engine=google_maps_photos&hl=en,"{'latitude': 40.7340106, 'longitude': -73.992526}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJ2wHSrZlZwokRgtQcf8U3emw,4.4,214,$$,Coffee shop,"101 University Pl, New York, NY 10003",Closed ⋅ Opens 7 AM,Closed ⋅ Opens 7 AM,"{'wednesday': '7\u202fAM–6\u202fPM', 'thursday': '7\u202fAM–6\u202fPM', 'friday': '7\u202fAM–6\u202fPM', 'saturday': '8\u202fAM–3\u202fPM', 'sunday': '8\u202fAM–3\u202fPM', 'monday': '7\u202fAM–6\u202fPM', 'tuesday': '7\u202fAM–6\u202fPM'}",(510) 653-3394,https://bluebottlecoffee.com/,"Hip cafe for gourmet coffee & pastries. Trendy cafe chain offering upscale coffee drinks & pastries, plus beans & brewing equipment.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipPkRuhrrq-fqf9gTOhflVCZwfdylokGSUKHAvVQ=w163-h92-k-no,,
9,Starbucks,ChIJk6SPTLpZwokRXQXwkiMeoI8,0x89c259ba4c8fa493:0x8fa01e2392f0055d,10349305081835291997,https://serpapi.com/search.json?data_id=0x89c259ba4c8fa493%3A0x8fa01e2392f0055d&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c259ba4c8fa493%3A0x8fa01e2392f0055d&engine=google_maps_photos&hl=en,"{'latitude': 40.745218, 'longitude': -73.9989296}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJk6SPTLpZwokRXQXwkiMeoI8,3.8,350,$$,Coffee shop,"300 W 23rd St, New York, NY 10011",Closed ⋅ Opens 6 AM,Closed ⋅ Opens 6 AM,"{'wednesday': '6\u202fAM–7\u202fPM', 'thursday': '6\u202fAM–7\u202fPM', 'friday': '5:30\u202fAM–7\u202fPM', 'saturday': '6\u202fAM–7\u202fPM', 'sunday': '6\u202fAM–6:30\u202fPM', 'monday': '6\u202fAM–7\u202fPM', 'tuesday': '6\u202fAM–7\u202fPM'}",(646) 638-1571,https://www.starbucks.com/store-locator/store/13905/,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipOmhUG4aOXuM_XzHkIcCrQ_LuTSmogF1F0SRpz4=w92-h92-k-no,,
10,Starbucks,ChIJi5-g-5VZwokRjwnlHIAFRhM,0x89c25995fba09f8b:0x134605801ce5098f,1388803582889101711,https://serpapi.com/search.json?data_id=0x89c25995fba09f8b%3A0x134605801ce5098f&engine=google_maps_reviews&hl=en,https://serpapi.com/search.json?data_id=0x89c25995fba09f8b%3A0x134605801ce5098f&engine=google_maps_photos&hl=en,"{'latitude': 40.739360999999995, 'longitude': -74.002577}",https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=en&place_id=ChIJi5-g-5VZwokRjwnlHIAFRhM,4.1,475,$$,Coffee shop,"122 Greenwich Ave, New York, NY 10011",Closed ⋅ Opens 5:30 AM,Closed ⋅ Opens 5:30 AM,"{'wednesday': '5:30\u202fAM–7:30\u202fPM', 'thursday': '5:30\u202fAM–7:30\u202fPM', 'friday': '5:30\u202fAM–7:30\u202fPM', 'saturday': '6\u202fAM–8:30\u202fPM', 'sunday': '5:30\u202fAM–7\u202fPM', 'monday': '5:30\u202fAM–7:30\u202fPM', 'tuesday': '5:30\u202fAM–7:30\u202fPM'}",(212) 366-4672,https://www.starbucks.com/store-locator/store/35545/,"Iconic Seattle-based coffeehouse chain. Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.","{'dine_in': True, 'takeout': True, 'delivery': False}",https://lh5.googleusercontent.com/p/AF1QipPhwg7H5eaooV8DA8zP9DyWvRmH_mev4LuwXv2Z=w92-h92-k-no,,
